abbreviation/__text,type/_rdf:resource,label/_xml:lang,label/__text,_rdf:about,description/_rdf:datatype,description/__text
D.P.A.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,D.P.A. Doctor of Public Administration,http://vivoweb.org/ontology/degree/academicDegree49,,
S.T.B.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,S.T.B. Bachelor of Sacred Theology,http://vivoweb.org/ontology/degree/academicDegree104,,
B.Arch.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,B.Arch. Bachelor of Architecture,http://vivoweb.org/ontology/degree/academicDegree12,,
,http://vivoweb.org/ontology/core#AcademicDegree,en-US,Dip.Ed. Diploma of Education,http://vivoweb.org/ontology/degree/academicDegree116,,
B.R.E.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,B.R.E. Bachelor of Religious Education,http://vivoweb.org/ontology/degree/academicDegree32,,
E.M.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,E.M. Engineer of Mines,http://vivoweb.org/ontology/degree/academicDegree59,,
LL.D.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,LL.D. Doctor of Laws,http://vivoweb.org/ontology/degree/academicDegree69,,
B.F.A.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,B.F.A. Bachelor of Fine Arts,http://vivoweb.org/ontology/degree/academicDegree22,,
Sc.D.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,Sc.D. Doctor of Science,http://vivoweb.org/ontology/degree/academicDegree100,,
B.J.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,B.J. Bachelor of Journalism,http://vivoweb.org/ontology/degree/academicDegree23,,
E.E.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,E.E. Electrical Engineer,http://vivoweb.org/ontology/degree/academicDegree58,,
M.F.A.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,M.F.A. Master of Fine Arts,http://vivoweb.org/ontology/degree/academicDegree82,,
D.A.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,D.A. Doctor of Arts,http://vivoweb.org/ontology/degree/academicDegree37,,
D.Ed.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,D.Ed. Doctor of Education,http://vivoweb.org/ontology/degree/academicDegree44,,
M.S.W.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,M.S.W. Master of Social Work,http://vivoweb.org/ontology/degree/academicDegree92,,
B.A.E.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,B.A.E. Aeronautical Engineering,http://vivoweb.org/ontology/degree/academicDegree7,,
B.Sc.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,B.Sc. Bachelor of Science,http://vivoweb.org/ontology/degree/academicDegree110,http://www.w3.org/2001/XMLSchema#string,Abbreviation commonly used by Canadian and British universities.
B.D.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,B.D. Bachelor of Divinity,http://vivoweb.org/ontology/degree/academicDegree17,,
S.T.D.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,S.T.D. Doctor of Sacred Theology,http://vivoweb.org/ontology/degree/academicDegree105,,
M.Sc.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,M.Sc. Master of Science,http://vivoweb.org/ontology/degree/academicDegree117,,
Sc.M.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,Sc.M. Master of Science,http://vivoweb.org/ontology/degree/academicDegree123,,
S.B.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,S.B. Bachelor of Science,http://vivoweb.org/ontology/degree/academicDegree99,,
M.N.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,M.N. Master of Nursing,http://vivoweb.org/ontology/degree/academicDegree89,,
J.S.D.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,J.S.D. Doctor of Juristic Science,http://vivoweb.org/ontology/degree/academicDegree64,,
M.Div.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,M.Div. Master of Divinity,http://vivoweb.org/ontology/degree/academicDegree78,,
LL.M.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,LL.M. Master of Laws,http://vivoweb.org/ontology/degree/academicDegree70,,
B.L.S.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,B.L.S. Bachelor of Liberal Studies,http://vivoweb.org/ontology/degree/academicDegree24,,
B.S.E.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,B.S.E. Bachelor of Science in Engineering,http://vivoweb.org/ontology/degree/academicDegree120,,
M.Eng.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,M.Eng. Master of Engineering,http://vivoweb.org/ontology/degree/academicDegree81,,
Ed.S.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,Ed.S. Education Specialist,http://vivoweb.org/ontology/degree/academicDegree57,,
D.D.S.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,D.D.S. Doctor of Dental Science,http://vivoweb.org/ontology/degree/academicDegree43,,
B.Ag.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,B.Ag. Bachelor of Agriculture,http://vivoweb.org/ontology/degree/academicDegree10,,
B.A.S.,http://vivoweb.org/ontology/core#AcademicDegree,en-US,B.A.S. Bachelor of Applied Science,http://vivoweb.org/ontology/degree/academicDegree124,,
