t,s,l
ObjectProperty,http://vivoweb.org/ontology/core#hasFacility,has facility
ObjectProperty,http://vivoweb.org/ontology/core#hasFundingVehicle,funding provided via
ObjectProperty,http://vivoweb.org/ontology/core#hasGoverningAuthority,governing authority
ObjectProperty,http://vivoweb.org/ontology/core#hasPredecessorOrganization,predecessor organization
ObjectProperty,http://vivoweb.org/ontology/core#hasPrerequisite,has prerequisite
ObjectProperty,http://vivoweb.org/ontology/core#hasProceedings,proceedings
ObjectProperty,http://vivoweb.org/ontology/core#hasPublicationVenue,published in
ObjectProperty,http://vivoweb.org/ontology/core#hasResearchArea,research areas
ObjectProperty,http://vivoweb.org/ontology/core#hasSubjectArea,has subject area
ObjectProperty,http://vivoweb.org/ontology/core#hasSuccessorOrganization,successor organization
ObjectProperty,http://vivoweb.org/ontology/core#hasTranslation,has translation
ObjectProperty,http://vivoweb.org/ontology/core#informationResourceSupportedBy,supported by
ObjectProperty,http://vivoweb.org/ontology/core#offeredBy,offered by
ObjectProperty,http://vivoweb.org/ontology/core#offers,offers
ObjectProperty,http://vivoweb.org/ontology/core#orcidId,ORCID iD
ObjectProperty,http://vivoweb.org/ontology/core#prerequisiteFor,prerequisite for
ObjectProperty,http://vivoweb.org/ontology/core#proceedingsOf,proceedings of
ObjectProperty,http://vivoweb.org/ontology/core#providesFundingThrough,provides funding through
ObjectProperty,http://vivoweb.org/ontology/core#publicationVenueFor,publication venue for
ObjectProperty,http://vivoweb.org/ontology/core#publisher,publisher
ObjectProperty,http://vivoweb.org/ontology/core#publisherOf,publisher of
ObjectProperty,http://vivoweb.org/ontology/core#relatedBy,related by
ObjectProperty,http://vivoweb.org/ontology/core#relates,relates
ObjectProperty,http://vivoweb.org/ontology/core#reproduces,reproduces
ObjectProperty,http://vivoweb.org/ontology/core#researchAreaOf,research area of
ObjectProperty,http://vivoweb.org/ontology/core#reviewedIn,reviewed in
ObjectProperty,http://vivoweb.org/ontology/core#roleContributesTo,contributes to
ObjectProperty,http://vivoweb.org/ontology/core#sponsoredBy,award sponsored by
ObjectProperty,http://vivoweb.org/ontology/core#sponsors,sponsors award or honor
ObjectProperty,http://vivoweb.org/ontology/core#start,start
ObjectProperty,http://vivoweb.org/ontology/core#subcontractsGrant,subcontracts grant
ObjectProperty,http://vivoweb.org/ontology/core#subjectAreaOf,subject area of
ObjectProperty,http://vivoweb.org/ontology/core#supportedBy,supported by
ObjectProperty,http://vivoweb.org/ontology/core#supportedInformationResource,supported publications or other works
ObjectProperty,http://vivoweb.org/ontology/core#supports,supports
ObjectProperty,http://vivoweb.org/ontology/core#translatorOf,translator of
ObjectProperty,http://vivoweb.org/ontology/core#validIn,valid in
ObjectProperty,http://vivoweb.org/ontology/scientific-research#accessProvidedBy,access provided by
ObjectProperty,http://vivoweb.org/ontology/scientific-research#documentationFor,documentation for project or resource
ObjectProperty,http://vivoweb.org/ontology/scientific-research#protocolRealizedBy,protocol realized by
ObjectProperty,http://www.ebi.ac.uk/efo/swo/SWO_0000740,implements
ObjectProperty,http://www.ebi.ac.uk/efo/swo/SWO_0000741,is encoded in
ObjectProperty,http://www.obofoundry.org/ro/ro.owl#has_agent,has agent
ObjectProperty,http://www.w3.org/2002/07/owl#DeprecatedProperty,deprecated property
ObjectProperty,http://www.w3.org/2002/07/owl#sameAs,same as
ObjectProperty,http://www.w3.org/2002/07/owl#topObjectProperty,
ObjectProperty,http://www.w3.org/2004/02/skos/core#broader,broader concept
ObjectProperty,http://www.w3.org/2004/02/skos/core#narrower,narrower concept
ObjectProperty,http://www.w3.org/2004/02/skos/core#related,related concept
ObjectProperty,http://www.w3.org/2006/vcard/ns#hasAddress,has address
ObjectProperty,http://www.w3.org/2006/vcard/ns#hasCalendarLink,has calendar link
ObjectProperty,http://www.w3.org/2006/vcard/ns#hasCalendarRequest,has calendar request
ObjectProperty,http://www.w3.org/2006/vcard/ns#hasCalenderBusy,has calendar busy
ObjectProperty,http://www.w3.org/2006/vcard/ns#hasCategory,has category
ObjectProperty,http://www.w3.org/2006/vcard/ns#hasEmail,has email
ObjectProperty,http://www.w3.org/2006/vcard/ns#hasFormattedName,has formatted name
ObjectProperty,http://www.w3.org/2006/vcard/ns#hasGeo,has geo
ObjectProperty,http://www.w3.org/2006/vcard/ns#hasInstantMessage,has messaging
ObjectProperty,http://www.w3.org/2006/vcard/ns#hasKey,has key
ObjectProperty,http://www.w3.org/2006/vcard/ns#hasLanguage,has language
ObjectProperty,http://www.w3.org/2006/vcard/ns#hasLogo,has logo
ObjectProperty,http://www.w3.org/2006/vcard/ns#hasMember,member
ObjectProperty,http://www.w3.org/2006/vcard/ns#hasName,has name
ObjectProperty,http://www.w3.org/2006/vcard/ns#hasNickname,has nickname
ObjectProperty,http://www.w3.org/2006/vcard/ns#hasNote,has note
ObjectProperty,http://www.w3.org/2006/vcard/ns#hasOrganizationName,has organization name
ObjectProperty,http://www.w3.org/2006/vcard/ns#hasOrganizationalUnitName,has organizational unit name
ObjectProperty,http://www.w3.org/2006/vcard/ns#hasPhoto,has photo
ObjectProperty,http://www.w3.org/2006/vcard/ns#hasRelated,has related
ObjectProperty,http://www.w3.org/2006/vcard/ns#hasSound,has sound
ObjectProperty,http://www.w3.org/2006/vcard/ns#hasTelephone,has telephone
ObjectProperty,http://www.w3.org/2006/vcard/ns#hasTimeZone,has time zone
ObjectProperty,http://www.w3.org/2006/vcard/ns#hasTitle,has title
ObjectProperty,http://www.w3.org/2006/vcard/ns#hasURL,has URL
