?parent_label	?label
"instrument"	"microwave accelerator"
"instrument"	"microwave sample preparation system"
"instrument"	"microwave synthesis system"
"instrument"	"milling machine"
"instrument"	"mineralized tissue thin sectioning system"
"instrument"	"mobile dental cart"
"instrument"	"molecular crosslinker"@en
"instrument"	"monitoring device"
"instrument"	"monochromator"
"instrument"	"motion sensors"
"instrument"	"motorized microscope stage"
"instrument"	"multi-electrode array system"
"instrument"	"multi-imager"
"instrument"	"multichannel acquisition system"
"instrument"	"multichannel pipette"
"instrument"	"multispectral imaging flow cytometer"@en
"instrument"	"muscle lever system"
"instrument"	"muscle test system"
"instrument"	"nano universal testing machine"
"instrument"	"nanoindenter"
"instrument"	"nanoparticle size analyzer"
"instrument"	"needle grinder"
"instrument"	"network attached storage"
"instrument"	"nitric oxide monitor"
"instrument"	"nitrogen evaporator"
"instrument"	"non-binocular display system"
"instrument"	"normal phase column"@en
"instrument"	"nucleic acid extraction/purification instrument"
"instrument"	"nucleic acid preparation station"
"instrument"	"nucleotide-free workbench"
"instrument"	"nutritional educational device"
"instrument"	"objective lens"
"instrument"	"obscuration bar"@en
"instrument"	"obsolete_platform"@en
"instrument"	"oligonucleotide synthesizer"@en
"instrument"	"oocyte clamp"
"instrument"	"open tubular column"@en
"instrument"	"optical bench "
"instrument"	"optical filter"@en
"instrument"	"optical subsystem"@en
"instrument"	"optical tweezers"@en
"instrument"	"orbital shaker"
"instrument"	"organic acid column"@en
"instrument"	"oscilloscope"
"instrument"	"osmium coater"
"instrument"	"osmometer"
"instrument"	"oven"
"instrument"	"oxygen monitor"
"instrument"	"oxygraph system"
"instrument"	"pH meter"
"instrument"	"packed column"@en
"instrument"	"particle delivery vessel"@en
"instrument"	"particle size analyzer"
"instrument"	"patch clamp device"
"instrument"	"peptide synthesizer"
"instrument"	"perfusion station"
"instrument"	"peristaltic pump "
"instrument"	"phone sensor"
"instrument"	"phosphorimager"
"instrument"	"photo enlarger "
"instrument"	"photodetector"@en
"instrument"	"photometer"
"instrument"	"photomultiplier tube"@en
"instrument"	"photon counting module"
"instrument"	"physical therapy pool "
"instrument"	"piezo electric crystal"@en
"instrument"	"planetary mixer"
"instrument"	"plasma cleaner"
"instrument"	"plasma etcher"
"instrument"	"plate loader"@en
"instrument"	"plate sealer"
"instrument"	"plate shaker"
"instrument"	"plethysmograph"@en
"instrument"	"plunge freezing instrument"
"instrument"	"plunger column"@en
"instrument"	"polar scan system"
"instrument"	"polarimeter"
"instrument"	"polarized light camera"
"instrument"	"polisher"
"instrument"	"polygraph"
"instrument"	"polymer mixer"
"instrument"	"porosimiter"
"instrument"	"positron emission tomography scanner"
"instrument"	"potentiostat"
"instrument"	"power supply"@en
"instrument"	"precision measurement tool"
"instrument"	"pressure isolator"
"instrument"	"print processor"
"instrument"	"printer"
"instrument"	"profilometer"
"instrument"	"projector system "
"instrument"	"protein column"@en
"instrument"	"protein separation apparatus"
"instrument"	"protein sequencer"
"instrument"	"protein spot cutter"
"instrument"	"pulse generator "
"instrument"	"pulse pressure injector"
"instrument"	"pulsed laser deposition system"
"instrument"	"pump valve switch"@en
"instrument"	"radiation measurement device"
"instrument"	"radiography instrument"
"instrument"	"rapid multi-assay analyzer"
"instrument"	"rapid resolution column"@en
"instrument"	"rapid thermal processor"
"instrument"	"reactive ion etcher"
"instrument"	"reagent titrator"
"instrument"	"recirculating immuno-magnetic separation instrument"
"instrument"	"reflectometer"
"instrument"	"remote manipulator arm "
"instrument"	"respirometry system"
"instrument"	"response pad"
"instrument"	"reversed phase column"@en
"instrument"	"rheometer"
"instrument"	"robot"
"instrument"	"robot arm"
"instrument"	"rocker"
"instrument"	"roller drum"
"instrument"	"rotary evaporator"
"instrument"	"sample loader"
"instrument"	"saw"
"instrument"	"scanning auger electron microprobe"
"instrument"	"scanning camera"
"instrument"	"scintillation counter"
"instrument"	"screen display "
"instrument"	"scriber "
"instrument"	"semiconductor stripper"
"instrument"	"sheath tank"@en
"instrument"	"sheet metal shears"
"instrument"	"shielded nuclear radiation containment chamber"
"instrument"	"sieve shaker"
"instrument"	"simulator "
"instrument"	"sinker EDM"
"instrument"	"sit up force table"
"instrument"	"size exclusion column"@en
"instrument"	"skin electrode"
"instrument"	"skin temperature sensor"
"instrument"	"skinfold calipers"
"instrument"	"slide scanner"
"instrument"	"slide warmer"
"instrument"	"sliding caliper"
"instrument"	"small-animal image acquisition device"
"instrument"	"small-animal surgery workstation"
"instrument"	"sonicator"@en
"instrument"	"sound isolation enclosure"
"instrument"	"soxhlet extractor"
"instrument"	"spectrophotometer"@en
"instrument"	"spectrum analyzer "
"instrument"	"spin coater"
"instrument"	"spin column"@en
"instrument"	"spin rinse dryer"
"instrument"	"spirometer"
"instrument"	"spore trap"
"instrument"	"spot cutter"
"instrument"	"spray dryer"
"instrument"	"sputter coater"
"instrument"	"squeeze chute"
"instrument"	"stadiometer"
"instrument"	"static light scattering analyzer"
"instrument"	"stereotaxic device"
"instrument"	"stimulator"
"instrument"	"stimulus isolator"
"instrument"	"stoke granulator"
"instrument"	"super 16 analyzer projector"
"instrument"	"super 8 analyzer projector"
"instrument"	"surface area analyzer"
"instrument"	"surface grinder"
"instrument"	"surface plasmon resonance instrument"
"instrument"	"surface tension and contact angle measurement system"
"instrument"	"sympathetic nerve simulator "
"instrument"	"synchrotron"
"instrument"	"syringe"@en
"instrument"	"syringe pump"@en
"instrument"	"tattoo machine"
"instrument"	"teleconference equipment "
"instrument"	"telemetry system"
"instrument"	"temperature control bath"@en
"instrument"	"temperature controller"
"instrument"	"temperature monitor"
"instrument"	"tendon vibrator"
"instrument"	"thermal cycler"@en
"instrument"	"thermal evaporator"
"instrument"	"thermal oxidation furnace"
"instrument"	"thermogravimetric analyzer"
"instrument"	"thermomixer"
"instrument"	"thin film stress measurement system"
"instrument"	"tissue embedding station"
"instrument"	"torque sensor"
"instrument"	"total internal reflection fluorescence instrument"
"instrument"	"trap column"@en
"instrument"	"turbula mixer"
"instrument"	"typhoon fluorescence scanner"
"instrument"	"ultracentrifuge rotor"
"instrument"	"ultrasonic cell disruptor"
"instrument"	"ultrasonic cleaner"
"instrument"	"ultrasonic cutter"
"instrument"	"ultrasound machine"
"instrument"	"urine analyzer"
"instrument"	"urodynamic testing system"
"instrument"	"ussing chambers"
"instrument"	"vacuum dryer"@en
"instrument"	"vacuum evaporator"
